title,character,character_alias,actor
Captain America: The First Avenger,Captain America,Steve Rogers,Chris Evans
Captain America: The First Avenger,Peggy Carter,,Hayley Atwell
Captain America: The First Avenger,James Buchanan 'Bucky' Barnes,,Sebastian Stan
Captain America: The First Avenger,Colonel Chester Phillips,,Tommy Lee Jones
Captain America: The First Avenger,Johann Schmidt,Red Skull,Hugo Weaving
Captain America: The First Avenger,Howard Stark,,Dominic Cooper
Captain America: The First Avenger,Heinz Kruger,,Richard Armitage
Captain America: The First Avenger,Dr. Abraham Erskine,,Stanley Tucci
Captain America: The First Avenger,Nick Fury,,Samuel L. Jackson
Captain America: The First Avenger,Dr. Arnim Zola,,Toby Jones
Captain America: The First Avenger,Timothy 'Dum Dum' Dugan,,Neal McDonough
Captain America: The First Avenger,Gabe Jones,,Derek Luke
Captain America: The First Avenger,Jim Morita,,Kenneth Choi
Captain America: The First Avenger,James Montgomery Falsworth,,JJ Feild
Captain America: The First Avenger,Jacques Dernier,,Bruno Ricci
Captain America: The First Avenger,Gilmore Hodge,,Lex Shrapnel
Captain America: The First Avenger,Senator Brandt,,Michael Brandon
Captain America: The First Avenger,Brandt's Aide,,Martin Sherman
Captain America: The First Avenger,Pvt. Lorraine,,Natalie Dormer
Captain America: The First Avenger,Search Team Leader,,Oscar Pearce
Captain America: The First Avenger,S.H.I.E.L.D. Lieutenant,,William Hope
Captain America: The First Avenger,S.H.I.E.L.D. Tech,,Nicholas Pinnock
Captain America: The First Avenger,Jan,,Marek Oravec
Captain America: The First Avenger,Tower Keeper,,David Bradley
Captain America: The First Avenger,Steve Rogers Double,Barman,Leander Deeny
Captain America: The First Avenger,Nervous Recruit,,Sam Hoare
Captain America: The First Avenger,4F Doctor,,Simon Kunz
Captain America: The First Avenger,Loud Jerk,,Kieran O'Connor
Captain America: The First Avenger,Connie,,Jenna Coleman
Captain America: The First Avenger,Bonnie,,Sophie Colquhoun
Captain America: The First Avenger,Young Doctor,,Doug Cockle
Captain America: The First Avenger,Enlistment Office MP,,Ben Batt
Captain America: The First Avenger,Stark Girl,,Mollie Fitzgerald
Captain America: The First Avenger,Sergeant Duffy,,Damon Driver
Captain America: The First Avenger,Johann Schmidt's Artist,,David McKail
Captain America: The First Avenger,Antique Store Owner,,Amanda Walker
Captain America: The First Avenger,SSR Doctor,,Richard Freeman
Captain America: The First Avenger,Project Rebirth Nurse,,Katherine Press
Captain America: The First Avenger,Kruger's Aide,,Sergio James
Captain America: The First Avenger,Undercover Bum,,Marcello Walton
Captain America: The First Avenger,Undercover Bum,,Vincent Montuel
Captain America: The First Avenger,Kruger's Driver,,Fabrizio Santino
Captain America: The First Avenger,Boy at Dock,,Maxwell Newman
Captain America: The First Avenger,Roeder,,Anatole Taubman
Captain America: The First Avenger,Hutter,,Jan Pohl
Captain America: The First Avenger,Schneider,,Erich Redman
Captain America: The First Avenger,The Star Spangled Singer,,Rosanna Hoult
Captain America: The First Avenger,The Star Spangled Singer,,Naomi Slights
Captain America: The First Avenger,The Star Spangled Singer,,Kirsty Mather
Captain America: The First Avenger,Kid in USO Audience,,Megan Sanderson
Captain America: The First Avenger,Kid in USO Audience,,Darren Simpson
Captain America: The First Avenger,Newsstand Mom,,Fernanda Toker
Captain America: The First Avenger,Autograph Seeker,,Laura Haddock
Captain America: The First Avenger,'Adolph Hitler',,James Payton
Captain America: The First Avenger,Army Heckler,,Ronan Raftery
Captain America: The First Avenger,Army Heckler,,Nick Hendrix
Captain America: The First Avenger,Army Heckler,,Luke Allen-Gale
Captain America: The First Avenger,Army Heckler,,Jack Gordon
Captain America: The First Avenger,HYDRA Guard,HYDRA Pilot,Benjamin Uttley
Captain America: The First Avenger,Stark's Engineer,,Kevin Millington
Captain America: The First Avenger,Manager Velt,,Patrick Monckeberg
Captain America: The First Avenger,HYDRA Lieutenant,,Peter Stark
Captain America: The First Avenger,S.H.I.E.L.D. Agent,,Amanda Righetti
Captain America: The First Avenger,USO Dancer,,Jennifer Abbotts
Captain America: The First Avenger,USO Dancer,,Michelle Antrobus
Captain America: The First Avenger,USO Dancer,,Lucy Dean
Captain America: The First Avenger,USO Dancer,,Erin Dusek
Captain America: The First Avenger,USO Dancer,,Nicole Evans
Captain America: The First Avenger,USO Dancer,,Lizzi Franklin
Captain America: The First Avenger,USO Dancer,,Emma Harris
Captain America: The First Avenger,USO Dancer,,Rachael Isherwood
Captain America: The First Avenger,USO Dancer,,Danielle Kelly
Captain America: The First Avenger,USO Dancer,,Nicole May
Captain America: The First Avenger,USO Dancer,,Stevie-Jean McGuire
Captain America: The First Avenger,USO Dancer,,Anna McNicholas
Captain America: The First Avenger,USO Dancer,,Rosie Pethullis
Captain America: The First Avenger,USO Dancer,,Jessica Powell
Captain America: The First Avenger,USO Dancer,,Rai Quartley
Captain America: The First Avenger,USO Dancer,,Sarah Riches
Captain America: The First Avenger,USO Dancer,,Holly Rostron
Captain America: The First Avenger,USO Dancer,,Caroline Royce
Captain America: The First Avenger,USO Dancer,,Stephanie Jayne Thompson
Captain America: The First Avenger,USO Dancer,,Lucie Waugh
Captain America: The First Avenger,USO Drummer,,Billy Lozowski
Captain America: The First Avenger,USO Drummer,,Gregory Paulett
Captain America: The First Avenger,USO Drummer,,Adam Birch
Captain America: The First Avenger,USO Drummer,,Adam Kent
Captain America: The First Avenger,USO Drummer,,Wiliam Morris
Captain America: The First Avenger,USO Drummer,,David Sdall
Captain America: The First Avenger,USO Drummer,,Paul Simmons
Captain America: The First Avenger,USO Drummer,,Marc Wheeler
Captain America: The First Avenger,USO Drummer,,Chris Diggle
Captain America: The First Avenger,USO Drummer,,Michael Humphrey
Marvel One-Shot: Agent Carter,Peggy Carter,,Hayley Atwell
Marvel One-Shot: Agent Carter,Agent Flynn,,Bradley Whitford
Marvel One-Shot: Agent Carter,Howard Stark,,Dominic Cooper
Marvel One-Shot: Agent Carter,Disembodied Voice,,Shane Black
Marvel One-Shot: Agent Carter,Dum Dum Dugan,,Neal McDonough
Marvel One-Shot: Agent Carter,Hefty Guard,,Tim Trobec
Marvel One-Shot: Agent Carter,Analyst,,Jon Barinholtz
Marvel One-Shot: Agent Carter,Guard #1,,Anthony Molinari
Marvel One-Shot: Agent Carter,Guard #2,,Jess King
Marvel One-Shot: Agent Carter,Goon #1,,Mark Aaron Wagner
Marvel One-Shot: Agent Carter,Goon #2,,David Hutchison
Marvel One-Shot: Agent Carter,Goon #3,,Jacob McCafferty
Marvel One-Shot: Agent Carter,Head Goon,,Tim Sitarz
Marvel One-Shot: Agent Carter,Poolside Woman #1,,Lindsey Gort
Marvel One-Shot: Agent Carter,Poolside Woman #2,,Sarah Schreiber
Agent Carter,Peggy Carter,,Hayley Atwell
Agent Carter,Edwin Jarvis,,James D'Arcy
Agent Carter,Daniel Sousa,,Enver Gjokaj
Agent Carter,Jack Thompson,,Chad Michael Murray
Agent Carter,Whitney Frost,,Wynn Everett
Agent Carter,Jason Wilkes,,Reggie Austin
Agent Carter,Dottie Underwood,,Bridget Regan
Agent Carter,Rose,,Lesley Boone
Agent Carter,Roger Dooley,,Shea Whigham
Agent Carter,Angie Martinelli,,Lyndsy Fonseca
Agent Carter,Calvin Chadwick,,Currie Graham
Agent Carter,Ana Jarvis,,Lotte Verbeek
Agent Carter,Vernon Masters,,Kurtwood Smith
Agent Carter,Howard Stark,,Dominic Cooper
Agent Carter,Dr. Samberly,,Matt Braunger
Agent Carter,Joseph Manfredi,,Ken Marino
Agent Carter,Agent Vega,,Rey Valentin
Agent Carter,Agent Yauch,,Alexander Carroll
Agent Carter,Dr. Ivchenko,,Ralph Brown
Agent Carter,Hugh Jones,,Ray Wise
Agent Carter,Miriam Fry,,Meagen Fay
Agent Carter,Ray Krzeminski,,Kyle Bornheimer
Agent Carter,Rufus,,Chris Browning
Agent Carter,Violet,,Sarah Bolger
Agent Carter,Captain America (Radio Actor),,Walker Roach
Agent Carter,Dr. Chung,,Tom Choi
Agent Carter,Leet Brannis,,James Frain
Agent Carter,Michael Carter,,Max Brown
Agent Carter,Sasha Demidov,,James Landry Hébert
Agent Carter,Thomas Gloucester,,Casey Sander
Agent Carter,Nonna Manfredi,,Tina D'Marco
Agent Carter,Sheldon McFee,,Devin Ratray
Agent Carter,Miles Van Ert,,James Urbaniak
Agent Carter,Agent Ryan,,Christopher Allen
Agent Carter,Director Kenneth,,Randy Sklar
Agent Carter,Agent Butch Wallace,,Patrick Robert Smith
Agent Carter,Alex Doobin,,Kevin Cotteleer
Agent Carter,Betty Carver (Radio Actor),,Erin Torpey
Agent Carter,Radio Announcer,,Ralph Garman
Agent Carter,Hank,,Chris Coppola
Agent Carter,Agent Ford,,Brian Glanney
Agent Carter,Carol,,Benita Robledo
Agent Carter,Agent Fisher,,Kevin Ashworth
Agent Carter,Isodyne Receptionist,,Angela Cristantello
Agent Carter,Agent Blackwell,,Russell Edge
Agent Carter,Dum-Dum Dugan,,Neal McDonough
Agent Carter,Happy Sam Sawyer,,Leonard Roberts
Agent Carter,Detective Prendergast,,Glenn Taranto
Agent Carter,Loretta Dooley,,Sarah Bloom
Agent Carter,Wilma Cully,,Samaire Armstrong
Agent Carter,Colonel Ernst Mueller,,Jack Conley
Agent Carter,Ovechkin,,Pawel Szajda
Agent Carter,Dr. Seth Honicky,,Rick Peters
Agent Carter,Agent Rick Ramirez,,Greg Serano
Agent Carter,Walt Cooper,,John Prosky
Agent Carter,Uncle Bud,,Chris Mulkey
Agent Carter,Torrance,,John Balma
Agent Carter,Dr. Arnim Zola,,Toby Jones
Agent Carter,Colleen O'Brien,,Ashley Hinshaw
Agent Carter,Otto Mink,,Gregory Sporleder
Agent Carter,Agent Mike Li,,Eddie Shin
Agent Carter,Detective Andrew Henry,,Sean O'Bryan
Agent Carter,Mr. Edwards,,Christopher Grove
Agent Carter,Frank,,John Bishop
Agent Carter,Nikola,,Alex Veadov
Agent Carter,Officer Pike,,DaJuan Johnson
Agent Carter,Albert,,Steven Hack
Agent Carter,Surgeon,,Rob Locke
Agent Carter,Nick Driscoll,,Damian O'Hare
Agent Carter,"Fred, Peggy's Fiance",,Kevin Changaris
Agent Carter,Nurse,,Arielle Fanelli
Agent Carter,SSR Informant,,John Glover
Agent Carter,Man on Bench,,Stan Lee
Agent Carter,Spider Raymond,,Andre Royo
Agent Carter,Jerome Zandow,,Rob Mars
Agent Carter,Fyodor,,Dimiter D. Marinov
Agent Carter,Agent Corcoran,,Travis Johns
Agent Carter,Mortimer Hayes,,John Kerry
Agent Carter,Man,,Myles Grier
Agent Carter,Pinky Pinkerton,,Richard Short
Agent Carter,Emmett Dooley,,Lincoln Melcher
Agent Carter,Mob Boss,,Don Luce
Agent Carter,Bombshell Secretary,,Alexandra Vino
Agent Carter,Frank,,Carl W. Crudup
Agent Carter,Guard 2,,Sean Bolger
Agent Carter,Melody,,Hayley McCarthy
Agent Carter,George,,Tim DeZarn
Agent Carter,Molly Bowden,,Laura Coover
Agent Carter,Cryptographer,,Jared Gertner
Agent Carter,Senator Webster,,Bill Kalmenson
Agent Carter,Ovechkin's Mom,,Madonna Cacciatore
Agent Carter,Pasha,,Dave Matos
Agent Carter,Sheriff,,Clayton Norcross
Agent Carter,Mrs. Carter,,Carole Ruggier
Agent Carter,Guard,,Josh Latzer
Agent Carter,Elderly Teller,,John Gilbert
Agent Carter,Orderly,,Brock Jones
Agent Carter,Jerry,,Jimmy Ambrose
Agent Carter,LAPD Officer,,Alva Loomis
Agent Carter,Anton Vanko,,Costa Ronin
Agent Carter,Junior Juniper,,James Austin Kerr
Agent Carter,Josephine,,Victoria Profeta
Agent Carter,Salesclerk,,Lisa Pescherine
Agent Carter,Building Manager,,Paul Roache
Agent Carter,Gorgeous Blonde,,Hope Lauren
Agent Carter,Roxxon Guard,,Ryan Sturz
Agent Carter,Ned Silver,,Andrew Brian Carter
Agent Carter,Restaurant Owner,,Nick Hoffa
Agent Carter,SSR Agent #1,,Edward Deraney
Agent Carter,Madison Avenue Guy,,Kevin Heffernan
Agent Carter,Thelma Crawford,,Yasmine Aker
Agent Carter,Usherette,,Diana Gettinger
Agent Carter,10 Year Old Dottie,,Veronika Bonell
Agent Carter,Lorraine,,Sarah Schreiber
Agent Carter,Emily,,Christie Herring
Agent Carter,Paul,,Tim Soergel
Agent Carter,Concierge,,Robert Buscemi
Agent Carter,Goon,,Malosi Leonard
Agent Carter,Mabel,,Tamika Katon-Donegal
Agent Carter,Security Guard Warshauer,,Chris Harrison
Agent Carter,Edith Oberon,,Krista Marie Yu
Agent Carter,10 Year Old Anya,,Caitlin Carmichael
Agent Carter,Mechanic,,Alex Daniels
Agent Carter,Winston,,Atticus Todd
Agent Carter,Woman,,Mary-Beth Manning
Agent Carter,Tipsy Guy,,Tim True
Agent Carter,Automat Customer,,Rick Steadman
Agent Carter,Teen Agnes Cully,,Olivia Scott Welch
Agent Carter,Snub Nose,,Timothy Thomas Brown
Agent Carter,Ralph,,Bert Rotundo
Agent Carter,10 Year Old Eva,,Chiara Aurelia
Agent Carter,Vera,,Meagan Holder
Agent Carter,Daisy Clover Foreman,,Greg Bryan
Agent Carter,Middle-Aged Man,,Chris Palermo
Agent Carter,Reporter #1,,Matt Raimo
Agent Carter,Esther,,Joyce Greenleaf
Agent Carter,Bartender,,Johnny Marques
Agent Carter,Jimmy,,Tim James
Agent Carter,Young Peggy Carter,,Gabriella Graves
Agent Carter,Medical Examiner Meltzer,,Bruce Katzman
Agent Carter,EMT,,Patrick Quinlan
Agent Carter,Small Boy,,Kellen Michael
Agent Carter,Elderly Woman,,Sandra Lee Gimpel
Agent Carter,Reporter #2,,Ward Roberts
Agent Carter,SSR Lab Tech,,Jeff Locker
Agent Carter,Pete the Newspaper Guy,,J. Anthony McCarthy
Agent Carter,Gloria,,Joanna Strapp
Agent Carter,Short Bouncer,,Jeffrey David Anderson
Agent Carter,Truck Driver,,Lon Gowan
Agent Carter,Young Michael Carter,,Webb Hayes
Agent Carter,Rookie Cop,,Alex Alcheh
Agent Carter,Singer,,Kirby Lauryen
Agent Carter,Large Smuggler,,Billy Malone
Agent Carter,Gary Tower,,Gerald Webb
Agent Carter,Leviathan Soldier,,Vladimir Tevlovski
Agent Carter,Tall Bouncer,,Carrick O'Quinn
Agent Carter,Young Agnes Cully,,Ivy George
Agent Carter,Ground Crewman,,Chris Patrickson
Agent Carter,Larger Smuggler,,Jeremy Timmins
Agent Carter,Ticket Lady,,Khalilah Joi
Agent Carter,Goon,,Jim Palmer
Agent Carter,FBI Agent,,Jonathan LaVallee
Agent Carter,Hoodlum,,Tim Garris
Agent Carter,Bletchley Girl,,Catriona Toop
Agent Carter,Thug,,Chad Dashnaw
Agent Carter,Bletchley Girl #2,,Jennie Page
Captain Marvel,Carol Danvers,Vers,Brie Larson
Captain Marvel,Nick Fury,,Samuel L. Jackson
Captain Marvel,Talos,Keller,Ben Mendelsohn
Captain Marvel,Yon-Rogg,,Jude Law
Captain Marvel,Supreme Intelligence,Dr. Wendy Lawson,Annette Bening
Captain Marvel,Korath,,Djimon Hounsou
Captain Marvel,Ronan,,Lee Pace
Captain Marvel,Maria Rambeau,,Lashana Lynch
Captain Marvel,Minn-Erva,,Gemma Chan
Captain Marvel,Agent Coulson,,Clark Gregg
Captain Marvel,Bron-Char,,Rune Temte
Captain Marvel,Att-Lass,,Algenis Perez Soto
Captain Marvel,Young Carol (13 Years Old),,Mckenna Grace
Captain Marvel,Monica Rambeau (11 Years Old),,Akira Akbar
Captain Marvel,Norex,,Matthew Maher
Captain Marvel,Soh-Larr,,Chuku Modu
Captain Marvel,Hero Torfan,,Vik Sahay
Captain Marvel,Steve Danvers,,Colin Ford
Captain Marvel,Joseph Danvers,,Kenneth Mitchell
Captain Marvel,Cadet Officer,,Stephen A. Chang
Captain Marvel,Bret Johnson,,Pete Ploszek
Captain Marvel,Spider,,Matthew 'Spider' Kimmel
Captain Marvel,Cajun,,Stephen 'Cajun' Del Bagno
Captain Marvel,Young Carol (6 Years Old),,London Fuller
Captain Marvel,Monica Rambeau (5 Years Old),,Azari Akbar
Captain Marvel,Skrull Main Tech,,Mark Daugherty
Captain Marvel,Skrull Tech #1,,Diana Toshiko
Captain Marvel,Mall Security Guard,,Barry Curtis
Captain Marvel,Surfer Girl Talos #1,,Emily Ozrey
Captain Marvel,Surfer Girl Talos #2,,Abigaille Ozrey
Captain Marvel,Older Lady on Train,,Marilyn Brett
Captain Marvel,Stan Lee,,Stan Lee
Captain Marvel,Biker (The Don),,Robert Kazinsky
Captain Marvel,Medical Examiner,,Nelson Franklin
Captain Marvel,Bartender,,Patrick Brennan
Captain Marvel,Security Chief,,Patrick Gallagher
Captain Marvel,Agent Whitcher,,Ana Ayora
Captain Marvel,Monica's Grandmother,,Lyonetta Flowers
Captain Marvel,Monica's Grandfather,,Rufus Flowers
Captain Marvel,Soren,,Sharon Blynn
Captain Marvel,Talos' Daughter,,Auden L. Ophuls
Captain Marvel,Talos' Daughter,,Harriet L. Ophuls
Captain Marvel,Accuser #1,,Matthew Bellows
Captain Marvel,Tom the Neighbor,,Richard Zeringue
Captain Marvel,Talos-Kree Soldier,,Duane Henry
Captain Marvel,Goose,,Reggie
Captain Marvel,Goose,,Gonzo
Captain Marvel,Goose,,Archie
Captain Marvel,Goose,,Rizzo
Iron Man,Tony Stark,,Robert Downey Jr.
Iron Man,Rhodey,,Terrence Howard
Iron Man,Obadiah Stane,,Jeff Bridges
Iron Man,Pepper Potts,,Gwyneth Paltrow
Iron Man,Christine Everhart,,Leslie Bibb
Iron Man,Yinsen,,Shaun Toub
Iron Man,Raza,,Faran Tahir
Iron Man,Agent Coulson,,Clark Gregg
Iron Man,General Gabriel,,Bill Smitrovich
Iron Man,Abu Bakaar,,Sayed Badreya
Iron Man,JARVIS,,Paul Bettany
Iron Man,Hogan,,Jon Favreau
Iron Man,William Ginter Riva,,Peter Billingsley
Iron Man,Major Allen,,Tim Guinee
Iron Man,Award Ceremony Narrator,,Will Lyman
Iron Man,Guard,,Tom Morello
Iron Man,Guard,,Marco Khan
Iron Man,Guard,,Dastan Khalili
Iron Man,Guard,,Ido Mor
Iron Man,Jimmy,,Kevin Foster
Iron Man,Pratt,,Garret Noël
Iron Man,Ramirez,,Eileen Weisinger
Iron Man,Ahmed,,Ahmed Ahmed
Iron Man,Omar,,Fahim Fazli
Iron Man,Howard Stark,,Gerard Sanders
Iron Man,Viper 1,,Tim Rigby
Iron Man,Viper 2,,Russell Richardson
Iron Man,Amira Ahmed,,Nazanin Boniadi
Iron Man,Colonel Craig,,Thomas Craig Plumer
Iron Man,Dealer at Craps Table,,Robert Berkman
Iron Man,Woman at Craps Table,,Stacy Stas Hurst
Iron Man,Woman at Craps Table,,Lauren Scyphers
Iron Man,Engineer,,Frank Nyi
Iron Man,Air Force Officer,,Marvin Jordan
Iron Man,Jim Cramer,,Jim Cramer
Iron Man,Woman In SUV,,Donna Evans
Iron Man,Kid in SUV,,Reid Harper
Iron Man,Kid in SUV,,Summer Kylie Remington
Iron Man,Kid in SUV,,Ava Rose Williams
Iron Man,Kid in SUV,,Vladimir Kubr
Iron Man,Kid in SUV,,Callie Croughwell
Iron Man,Gulmira Kid,,Javan Tahir
Iron Man,Gulmira Mom,,Sahar Bibiyan
Iron Man,Reporter,,Patrick O'Connell
Iron Man,Reporter,,Adam Harrington
Iron Man,Reporter,,Meera Simhan
Iron Man,Reporter,,Ben Newmark
Iron Man,Flight Attendant,,Ricki Lander
Iron Man,Flight Attendant,,Jeannine Kaspar
Iron Man,Flight Attendant,,Sarah Cahill
Iron Man,Hugh Hefner,,Stan Lee
Iron Man,Air Force Lieutenant,,Justin Rex
Iron Man,Zorianna Kit,,Zorianna Kit
Iron Man,Stan's Girl,,Lana Kinnear
Iron Man,Stan's Girl,,Nicole Lindeblad
Iron Man,Stan's Girl,,Masha Lund
Iron Man,Stan's Girl,,Gabrielle Tuite
Iron Man,CAOC Analyst,,Tim Griffin
Iron Man,CAOC Analyst,,Joshua Harto
Iron Man,CAOC Analyst,,Micah Hauptman
Iron Man,CAOC Analyst,,James Bethea
Iron Man 2,Tony Stark,,Robert Downey Jr.
Iron Man 2,Pepper Potts,,Gwyneth Paltrow
Iron Man 2,Lt. Col. James 'Rhodey' Rhodes,,Don Cheadle
Iron Man 2,Natalie Rushman,Natasha Romanoff,Scarlett Johansson
Iron Man 2,Justin Hammer,,Sam Rockwell
Iron Man 2,Ivan Vanko,,Mickey Rourke
Iron Man 2,Nick Fury,,Samuel L. Jackson
Iron Man 2,Agent Coulson,,Clark Gregg
Iron Man 2,Howard Stark,,John Slattery
Iron Man 2,Senator Stern,,Garry Shandling
Iron Man 2,JARVIS,,Paul Bettany
Iron Man 2,U.S. Marshal,,Kate Mara
Iron Man 2,Christine Everhart,,Leslie Bibb
Iron Man 2,Happy Hogan,,Jon Favreau
Iron Man 2,Christiane Amanpour,,Christiane Amanpour
Iron Man 2,Detective Lemieux,,Philippe Bergeron
Iron Man 2,Security Force #1,,James Bethea
Iron Man 2,Security Force #2,,Michael Bruno
Iron Man 2,Expo Fan,,Kate Clark
Iron Man 2,Russian Newscaster,,Luminita Docan
Iron Man 2,French Photographer,,François Duhamel
Iron Man 2,Larry Ellison,,Larry Ellison
Iron Man 2,Adam Goldstein,,DJ AM
Iron Man 2,Major Allen,,Tim Guinee
Iron Man 2,General Meade,,Eric L. Haney
Iron Man 2,10 Rings Gangster,,Ali Khan
Iron Man 2,Anton Vanko,,Evgeniy Lazarev
Iron Man 2,Larry King,,Stan Lee
Iron Man 2,AV Operator,,Isaiah Guyman Martin IV
Iron Man 2,Rebecca,,Helena Mattsson
Iron Man 2,Expo Cop,,Keith Middlebrook
Iron Man 2,Rebeka,,Anya Monzikova
Iron Man 2,Bambi Arbogast,,Margy Stein
Iron Man 2,Chess Roberts,,Olivia Munn
Iron Man 2,Elon Musk,,Elon Musk
Iron Man 2,Bill O'Reilly,,Bill O'Reilly
Iron Man 2,Strawberry Vendor,,Alejandro Patiño
Iron Man 2,Young Tony Stark,,Davin Ransom
Iron Man 2,Guard,,Karim Saleh
Iron Man 2,Hammer Expo Tech,,Brian Schaeffer
Iron Man 2,French Waiter,,Phillipe Simon
Iron Man 2,Jack,,Jack White
Iron Man 2,Ironette Dancer,,Melanie Brown
Iron Man 2,Ironette Dancer,,Krystal Ellsworth
Iron Man 2,Ironette Dancer,,Victoria Gracie
Iron Man 2,Ironette Dancer,,Gina Cantrell
Iron Man 2,Ironette Dancer,,Renee Herlocker
Iron Man 2,Ironette Dancer,,Jill Ann Pineda-Arnold
Iron Man 2,Ironette Dancer,,Sandy Colton
Iron Man 2,Ironette Dancer,,Annika Ihnat
Iron Man 2,Ironette Dancer,,Jenny Robinson
Iron Man 2,Ironette Dancer,,Lindsay Dennis
Iron Man 2,Ironette Dancer,,Jennifer D. Johnson
Iron Man 2,Ironette Dancer,,Lindsay Rosenberg
Iron Man 2,Ironette Dancer,,Hannah Douglass
Iron Man 2,Ironette Dancer,,Brooke Long
Iron Man 2,Ironette Dancer,,Rachele Brooke Smith
Iron Man 2,Ironette Dancer,,Nadine Ellis
Iron Man 2,Ironette Dancer,,Kylette Zamora
Marvel One-Shot: A Funny Thing Happened on the Way to Thor's Hammer,Agent Coulson,,Clark Gregg
Marvel One-Shot: A Funny Thing Happened on the Way to Thor's Hammer,Clerk,,Jessica Manuel
Marvel One-Shot: A Funny Thing Happened on the Way to Thor's Hammer,Robber 1,,Jeff Prewett
Thor,Thor,,Chris Hemsworth
Thor,Jane Foster,,Natalie Portman
Thor,Loki,,Tom Hiddleston
Thor,Odin,,Anthony Hopkins
Thor,Erik Selvig,,Stellan Skarsgård
Thor,Darcy Lewis,,Kat Dennings
Thor,Agent Coulson,,Clark Gregg
Thor,King Laufey,,Colm Feore
Thor,Heimdall,,Idris Elba
Thor,Volstagg,,Ray Stevenson
Thor,Hogun,,Tadanobu Asano
Thor,Fandral,,Josh Dallas
Thor,Sif,,Jaimie Alexander
Thor,Frigga,,Rene Russo
Thor,Isabela Alvarez,,Adriana Barraza
Thor,Agent Sitwell,,Maximiliano Hernández
Thor,Frost Giant Captain,,Richard Cetrone
Thor,Frost Giant Sentry,,Darren Kendrick
Thor,Frost Giant Hailstrum,,Josh Coxx
Thor,Frost Giant Brute,,Justice Smith Jr.
Thor,Frost Giant Grundroth,,Joseph Gatt
Thor,Frost Giant Raze,,Luke Massy
Thor,Einherjar Guard,,Matt Ducey
Thor,Einherjar Guard,,Jason Camp
Thor,Agent Delancey,,Buddy Sosthand
Thor,Techie,,Blake Silver
Thor,Agent Jackson,,Jamie McShane
Thor,Agent Garrett,,Dale Godboldo
Thor,Agent Cale,,Patrick O'Brien Demsey
Thor,SHIELD Guard,,Jim Palmer
Thor,Townie,,Seth Coltan
Thor,Townie,,J. Michael Straczynski
Thor,Townie,,Ryan Schaefer
Thor,Pete,,Matt Battaglia
Thor,Stan the Man,,Stan Lee
Thor,Drunk Townie,,Joel McCrary
Thor,Pet Store Clerk,,Isaac Kappy
Thor,Admission Nurse,,Juliet Lopez
Thor,Orderly,,Rob Mars
Thor,Viking Mother,,Carrie Lazar
Thor,Viking Child,,Harley Graham
Thor,Viking Elder,,Alexander Wright
Thor,Viking,,Hilary Pingle
Thor,Viking,,Shawn-Caulin Young
Thor,Viking,,Kinsey McLean
Thor,Viking,,Kelly Hawthorne
Thor,Young Thor,,Dakota Goyo
Thor,Young Loki,,Ted Allpress
The Incredible Hulk,Bruce Banner,,Edward Norton
The Incredible Hulk,Betty Ross,,Liv Tyler
The Incredible Hulk,Emil Blonsky,,Tim Roth
The Incredible Hulk,General 'Thunderbolt' Ross,,William Hurt
The Incredible Hulk,Samuel Sterns,,Tim Blake Nelson
The Incredible Hulk,Leonard,,Ty Burrell
The Incredible Hulk,Major Kathleen Sparr,,Christina Cabot
The Incredible Hulk,General Joe Greller,,Peter Mensah
The Incredible Hulk,Voice of The Incredible Hulk,Security Guard,Lou Ferrigno
The Incredible Hulk,Stanley,,Paul Soles
The Incredible Hulk,Martina,,Débora Nascimento
The Incredible Hulk,Commando,,Greg Bryk
The Incredible Hulk,Commando,,Chris Owens
The Incredible Hulk,Commando,,Al Vrkljan
The Incredible Hulk,Commando,,Adrian Hein
The Incredible Hulk,Commando,,John MacDonald
The Incredible Hulk,Helicopter Soldier,,Shaun McComb
The Incredible Hulk,Grad Student,,Simon Wong
The Incredible Hulk,Tough Guy Leader,,Pedro Salvín
The Incredible Hulk,Tough Guy,,Julio Cesar Torres Dantas
The Incredible Hulk,Tough Guy,,Raimundo Camargo Nascimento
The Incredible Hulk,Tough Guy,,Nick Alachiotis
The Incredible Hulk,Communications Officer,,Jason Burke
The Incredible Hulk,Helicopter Pilot,,Grant Nickalls
The Incredible Hulk,Soldier,,Joris Jarsky
The Incredible Hulk,Soldier,,Arnold Pinnock
The Incredible Hulk,Cop,,Tig Fong
The Incredible Hulk,Cop,,Jason Hunter
The Incredible Hulk,Cab Driver,,Maxwell McCabe-Lokos
The Incredible Hulk,Medical Technician,,David Collins
The Incredible Hulk,Plant Manager,,John Carvalho
The Incredible Hulk,Sniper,,Robin Wilcock
The Incredible Hulk,Boat Captain,,Wayne Robson
The Incredible Hulk,Guatemalan Trucker,,Javier Lambert
The Incredible Hulk,Computer Nerd,,Martin Starr
The Incredible Hulk,Young Guy,,Chris Ratz
The Incredible Hulk,Apache Helicopter Pilot,,Todd Hofley
The Incredible Hulk,Soldier,,Joe Lalogga
The Incredible Hulk,Colleague,,Tamsen McDonough
The Incredible Hulk,Harlem Bystander,,Michael Kenneth Williams
The Incredible Hulk,Market Vendor,,Roberto Bakker
The Incredible Hulk,Supply Driver,,Ruru Sacha
The Incredible Hulk,Army Base Doctor,,James Downing
